Complexity	Time	Predicted
1,85709e+06	72	64,6145
2,48767e+06	75	84,4152
462202	70	20,8135
18908	2	6,89362
93129	9	9,22423
814459	36	31,8747
24161	2	7,05857
90594	3	9,14463
356299	19	17,488
542569	14	23,3371
60028	3	8,18483
122670	4	10,1519
90466	4	9,14061
938411	24	35,767
11958	0	6,67538
48408	4	7,81995
1,59607e+06	46	56,4181
86170	4	9,00571
184313	21	12,0875
27719	0	7,17029
2,42659e+06	75	82,4973
271526	7	14,8261
632723	26	26,168
15441	0	6,78475
219371	16	13,1884
403004	18	18,9546
39632	1	7,54437
404961	10	19,0161
106583	2	9,6467
336987	44	16,8816
70032	2	8,49896
1,58106e+06	72	55,9467
44846	24	7,7081
137670	14	10,6229
224318	6	13,3437
2,32837e+06	65	79,413
59796	3	8,17754
177337	16	11,8685
1,28961e+06	51	46,795
132008	20	10,4451
898585	36	34,5164
1,02128e+06	36	38,3693
270111	36	14,7816
116305	16	9,95198
361687	13	17,6572
308132	10	15,9755
307368	9	15,9516
285304	10	15,2587
222645	7	13,2912
964934	37	36,5998
83576	2	8,92426
92342	31	9,19952
8403	0	6,56375
1,27358e+06	36	46,2917
44201	4	7,68784
313205	9	16,1348
231232	8	13,5608
1,44446e+06	55	51,6573
879930	23	33,9306
567828	17	24,1303
421740	25	19,543
207728	26	12,8228
122198	6	10,137
578187	32	24,4556
270675	26	14,7994
256786	9	14,3632
263360	12	14,5697
130800	62	10,4071
83692	3	8,9279
937928	69	35,7518
244096	21	13,9648
138925	13	10,6623
47059	2	7,77759
81183	4	8,84912
89876	7	9,12208
1,10936e+06	27	41,1349
208015	8	12,8318
1,3564e+06	46	48,8922
615755	20	25,6352
848841	36	32,9544
507972	17	22,2507
344784	12	17,1265
41825	10	7,61323
1,43065e+06	68	51,2238
15375	1	6,78268
980132	23	37,077
28639	11	7,19918
426704	22	19,6988
15223	0	6,7779
588726	26	24,7865
463566	15	20,8563
1,05026e+06	28	39,2792
371500	16	17,9654
136886	45	10,5982
742621	22	29,6189
273738	6	14,8955
1,21706e+06	56	44,5168
1,82087e+06	50	63,477
61690	1	8,23702
435603	26	19,9783
114131	21	9,88372
43896	1	7,67827
44143	12	7,68602
70834	1	8,52415
272018	10	14,8415
371078	31	17,9521
721732	37	28,963
73823	8	8,618
506125	29	22,1927
150428	9	11,0235
505835	29	22,1836
263148	17	14,563
45256	1	7,72097
22768	1	7,01482
148575	16	10,9653
214882	8	13,0474
395103	16	18,7065
177673	5	11,879
944572	31	35,9604
485821	13	21,5552
201341	6	12,6222
114078	20	9,88205
440921	15	20,1453
720262	54	28,9169
772231	24	30,5487
76265	1	8,69469
14910	0	6,76808
1,11006e+06	42	41,1568
608717	22	25,4142
1,38268e+06	55	49,7173
214700	16	13,0417
